Energy,D20,D80,D90
245MeV,373.272,366.692,365.423
240MeV,360.385,354.040,352.743
230MeV,335.101,329.092,327.875
220MeV,310.983,305.218,304.110
210MeV,287.678,282.184,280.979
200MeV,264.726,259.511,258.320
190MeV,242.557,237.544,236.467
180MeV,221.274,216.334,215.265
170MeV,200.742,195.966,194.949
160MeV,180.712,176.281,175.383
150MeV,161.706,157.634,156.770
140MeV,143.406,139.651,138.877
130MeV,125.839,122.399,121.674
120MeV,109.372,106.274,105.613
110MeV,94.368,91.457,90.834
100MeV,79.665,76.985,76.400
90MeV,66.030,63.742,63.256
80MeV,53.568,51.554,51.142
70MeV,42.437,40.575,40.161
